index,filename,native_width,native_height,aspect_ratio,orientation,format,original_KB,sharpness_score,verdict,wix_media_id
0,northface.jpg,2000,1334,1.499,landscape,JPEG,825,898.2,OK,b2375c_8c102e2601444cf59c34b6479147ee5f~mv2.jpeg
1,nf-2.jpg,1334,2000,0.667,portrait,JPEG,1719,162.5,OK,b2375c_fae84b57d32f4db081d48940b02d0215~mv2.jpg
2,nf-3.jpg,2000,1318,1.517,landscape,JPEG,2107,771.8,OK,b2375c_b975baae5ac94897a978559c45deecfb~mv2.jpg
3,nf-4.jpg,2000,1461,1.369,landscape,JPEG,2307,1450.1,OK,b2375c_0f99fa51f4974b5c97902d001e39a60d~mv2.jpg
4,nf-5.jpg,1334,2000,0.667,portrait,JPEG,2169,457.5,OK,b2375c_e0e20ca7f95f47b0ab7c5b9879ab7452~mv2.jpg
5,nf-6.jpg,1356,2000,0.678,portrait,JPEG,1575,257.3,OK,b2375c_b51d7cdbb23049d68fe579345e951d79~mv2.jpg
6,dunes.jpg,4000,2668,1.499,landscape,JPEG,1295,490.4,OK,b2375c_6bf7fd1afb4e43f7a7c8382242aa4e75~mv2.jpg
7,dunes-2.jpg,5332,7994,0.667,portrait,JPEG,11530,441.5,OK,b2375c_80df3c0488d94af0b322ae3ea3379b9f~mv2.jpg
8,dunes-3.jpg,2001,2668,0.75,portrait,JPEG,5374,164.7,OK,b2375c_b47cebdccf274163aa84ac3619a4cca4~mv2.jpg
9,dunes-5.jpg,5464,8192,0.667,portrait,JPEG,11416,66.9,OK,b2375c_494d3fdd06cf4d4f91c9b2e8b14a9b9b~mv2.jpg
10,dunes-7.jpg,5153,7726,0.667,portrait,JPEG,9782,626.8,OK,b2375c_bc0aca04b59948c8a797dff3db96bb10~mv2.jpg
11,mount-golf-course.jpg,5472,3648,1.5,landscape,JPEG,4393,935.0,OK,b2375c_477008e0bd2349368b65b2d91a8f68f3~mv2.jpg
12,mgc-2.jpg,5472,3648,1.5,landscape,JPEG,4135,536.6,OK,b2375c_5b79077052eb48e890659e5515814e8b~mv2.jpg
13,mgc-3.jpg,3427,2685,1.276,landscape,JPEG,3399,842.6,OK,b2375c_f4bd3140ea7c4d5db808824e59b7a908~mv2.jpg
14,mgc-4.jpg,5184,3456,1.5,landscape,JPEG,3646,403.0,OK,b2375c_04c3a98348ee490b8ec28e13fe0bc41e~mv2.jpg
15,mgc-5.jpg,2279,2142,1.064,landscape,JPEG,3077,3505.4,OK,b2375c_38ce8378b28b4859bc3aeda77251c4a8~mv2.jpg
16,mgc-6.jpg,1451,1451,1.0,square,JPEG,1959,269.9,OK,b2375c_43cf00a472e84fdca962d0535959e9a5~mv2.jpg
17,bond-street.jpg,2541,1821,1.395,landscape,JPEG,673,427.9,OK,b2375c_c8cc74a29e4640dfb497369e1ffb3e42~mv2.jpg
18,bond-3.jpg,3509,1657,2.118,landscape,JPEG,868,531.0,OK,b2375c_262fc49bf5334c49a32a83eb364a7c9b~mv2.jpg
19,bond-4.jpg,4944,3150,1.57,landscape,JPEG,1872,469.7,OK,b2375c_1f8022bccadf47bab28d54175e13dd2d~mv2.jpg
20,bond-5.jpg,4992,6666,0.749,portrait,JPEG,5453,1293.0,OK,b2375c_12fa9242686f46bfac28afb11dac60cd~mv2.jpg
21,bond-6.jpg,319,480,0.665,portrait,JPEG,35,3503.7,Too small (319x480) — pixelates in a row. Replace with higher-res export.,b2375c_28088e711211455eab3320b9fc78c682~mv2.jpg
22,bond-7.jpg,4686,3074,1.524,landscape,JPEG,1785,673.6,OK,b2375c_e4499b5e10ba4a739b3a5b852fcabe81~mv2.jpg
23,bond-8.jpg,640,426,1.502,landscape,JPEG,39,163.0,"Low res (640x426) — soft when upscaled. Marginal, replace if possible.",b2375c_9ea00e913c964a16a721e05d824361b4~mv2.jpg
24,waterways.jpg,3200,2133,1.5,landscape,JPEG,2416,1437.3,OK,b2375c_fc991b1915a54fa09449b4a0227e2c27~mv2.jpg
25,ww-2.jpg,2000,1333,1.5,landscape,JPEG,377,437.1,OK,b2375c_cf0c5f749d3d4d4a8ddef1ff12d350c9~mv2.jpg
26,ww-3.jpg,2000,1334,1.499,landscape,JPEG,419,954.6,OK,b2375c_130faf55e6b148e38e2b9219678c840a~mv2.jpg
27,ww-4.jpg,2000,1334,1.499,landscape,JPEG,262,361.5,OK,b2375c_ac6c332538fc4d0988352355ca1fa144~mv2.jpg
28,ww-6.jpg,1401,2000,0.701,portrait,JPEG,338,200.8,OK,b2375c_12e94f1b084a454ab2a119973579954c~mv2.jpg
